Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Brazil,Soybeans,2001,854.6,191.03,34.6,25319.7
China,Maize,2019,1050.2,138.52,20.8,30049.6
United States of America,Soybeans,2008,2292.3,352.42,20.6,38230.2
Brazil,Wheat,2011,499.9,302.94,22.9,39011.1
United States of America,"Rice, paddy",2010,1907.5,86.47,33.1,32906.5
China,Maize,2008,548.6,299.72,25.6,32281.1
United States of America,Maize,2005,977.4,338.18,27.7,38518.4
India,Maize,2003,973.7,1.51,14.4,27963.4
Australia,Maize,2018,2684.1,101.72,24.7,35635.1
United States of America,Wheat,2012,1402.0,8.19,24.6,33404.7
India,"Rice, paddy",2003,2259.5,308.82,28.5,33582.8
India,"Rice, paddy",2017,2305.6,163.86,32.3,33640.8
Brazil,Wheat,2018,1891.5,306.84,25.9,41954.4
United States of America,"Rice, paddy",2019,850.9,327.17,30.5,32322.8
Australia,Maize,2015,2760.2,177.75,20.6,38341.2
United States of America,Wheat,2010,1906.0,186.41,18.3,37086.7
China,Maize,2012,2424.3,199.03,22.8,40916.9
Brazil,Maize,2013,1302.0,460.42,24.6,37098.5
China,Wheat,2004,2099.5,393.8,21.4,44078.2
Australia,"Rice, paddy",2010,2022.5,416.9,22.5,36723.3
China,"Rice, paddy",2001,1650.2,392.66,25.0,37781.0
Australia,Potatoes,2006,451.7,245.8,33.2,182622.4
United States of America,Wheat,2000,2794.9,56.38,22.9,38279.6
India,"Rice, paddy",2020,2316.3,360.42,30.7,40201.1
India,Potatoes,2011,974.9,257.75,23.4,193305.0
Australia,Soybeans,2019,2656.1,414.14,15.4,40223.9
United States of America,Wheat,2009,1033.0,116.28,18.0,35080.0
Australia,Wheat,2005,1794.1,251.81,14.8,38660.9
India,Potatoes,2015,2320.6,219.89,25.3,211764.0
Australia,Soybeans,2012,2249.2,192.71,22.2,38341.5
Australia,"Rice, paddy",2004,2277.5,257.71,14.0,33553.6
India,Wheat,2010,2277.5,440.89,13.0,45035.6
United States of America,Wheat,2009,1940.9,123.05,11.4,38905.1
Brazil,Potatoes,2007,2962.9,207.66,28.8,199715.4
United States of America,Wheat,2017,1184.4,273.57,24.4,40803.2
Australia,Soybeans,2015,1935.2,59.04,18.4,31453.4
Australia,Soybeans,2016,2133.0,386.61,33.8,35069.1
India,Wheat,2016,2614.7,336.79,20.2,42809.8
United States of America,Potatoes,2015,326.9,361.86,23.4,202611.7
India,Soybeans,2015,849.3,64.13,17.1,29193.9
Brazil,"Rice, paddy",2008,2682.9,233.42,11.9,40935.9
India,"Rice, paddy",2018,1058.4,104.37,11.0,24336.3
China,Potatoes,2019,2050.5,37.52,19.4,186836.5
Australia,Potatoes,2009,1167.1,110.45,18.8,176340.3
China,Maize,2019,422.4,175.3,33.2,29783.9
Brazil,"Rice, paddy",2016,1307.8,316.18,12.4,29026.0
United States of America,Soybeans,2015,2329.7,401.6,23.0,43410.4
India,Maize,2004,859.6,356.76,19.7,33751.5
Australia,"Rice, paddy",2016,997.2,302.9,20.8,35864.6
United States of America,Potatoes,2009,1862.8,316.38,13.9,210227.5
Brazil,Wheat,2007,1919.4,430.83,31.7,41541.5
United States of America,Potatoes,2010,807.4,38.95,27.4,204310.7
United States of America,Wheat,2005,1739.8,318.56,28.7,39170.3
Australia,Wheat,2012,2530.0,231.83,17.0,42621.1
United States of America,Soybeans,2014,2518.4,231.03,34.6,35519.1
China,"Rice, paddy",2004,2319.2,75.73,15.4,27922.3
Australia,Soybeans,2002,2525.7,315.2,31.5,36487.3
India,Maize,2007,2287.8,218.49,26.7,39001.2
India,Soybeans,2005,556.3,499.45,18.2,34442.5
Brazil,Soybeans,2009,315.4,233.18,24.3,28381.9
Brazil,Potatoes,2010,1273.2,391.98,24.2,183650.9
China,Soybeans,2002,342.5,9.07,32.9,21920.4
Brazil,"Rice, paddy",2002,2833.7,207.7,20.1,38906.8
Brazil,Wheat,2003,2974.8,378.49,21.1,43660.0
China,Maize,2010,2808.7,171.28,23.2,43060.2
Brazil,Soybeans,2018,1496.3,247.33,31.5,33964.2
Brazil,Maize,2017,1278.6,431.89,12.8,37198.8
Brazil,Soybeans,2011,1651.0,345.6,27.4,33391.6
Brazil,Wheat,2006,1918.1,90.09,27.6,38558.4
United States of America,Wheat,2013,758.3,10.06,29.5,34556.1
China,Potatoes,2005,1747.0,244.5,20.0,205511.4
Australia,"Rice, paddy",2004,2551.2,321.47,12.0,35244.4
Brazil,Potatoes,2007,479.6,115.78,32.9,180629.4
China,Potatoes,2015,2164.8,298.59,22.5,218051.1
India,Maize,2018,381.1,448.73,25.6,36542.2
India,Soybeans,2013,1205.3,33.97,34.4,27381.4
Australia,Maize,2013,1341.1,35.98,15.3,30997.8
United States of America,Maize,2019,449.1,471.22,11.9,38143.3
Australia,Wheat,2007,609.0,4.85,13.9,22804.3
Brazil,Soybeans,2009,992.5,177.98,26.8,30078.3
United States of America,Maize,2013,2470.3,69.01,24.5,37394.9
Brazil,Potatoes,2015,770.5,437.77,21.0,194747.4
United States of America,Soybeans,2001,1537.8,362.64,24.4,37144.7
Brazil,Potatoes,2007,2093.3,100.02,11.1,176414.5
India,Potatoes,2020,1621.4,370.95,22.3,183259.3
China,Maize,2006,615.9,399.96,13.1,33195.8
Australia,Soybeans,2016,2508.2,255.32,28.4,39911.4
China,"Rice, paddy",2013,2040.8,115.3,23.8,36332.3
China,Soybeans,2002,890.5,91.83,30.6,25522.5
Australia,Wheat,2005,1311.3,398.97,19.2,40752.1
Australia,Soybeans,2019,2116.5,110.64,15.5,29747.5
United States of America,Potatoes,2006,1890.1,375.96,25.6,191321.0
China,Soybeans,2016,710.5,229.43,18.8,30681.0
India,"Rice, paddy",2007,2786.0,20.51,17.3,30780.8
Brazil,Soybeans,2006,317.4,386.37,27.6,31313.8
United States of America,"Rice, paddy",2016,2201.0,467.62,19.4,39372.6
Brazil,Soybeans,2020,422.7,323.48,15.7,34367.8
India,Potatoes,2009,2388.6,62.14,25.7,206168.0
India,Wheat,2011,367.4,224.79,15.9,32079.0
China,Wheat,2012,601.3,304.36,17.0,34792.2
United States of America,Maize,2010,1834.9,325.93,15.3,35055.9
United States of America,Soybeans,2020,1827.6,464.61,19.7,38896.1
India,Wheat,2002,1430.2,146.61,18.3,38622.9
United States of America,Maize,2006,1016.8,305.93,27.0,38275.9
Australia,Maize,2019,2295.5,139.09,17.0,34687.9
United States of America,Soybeans,2019,2130.9,271.74,18.7,38282.4
China,Maize,2013,513.1,221.68,16.5,31192.5
United States of America,Wheat,2011,801.5,186.57,33.2,34153.6
Australia,Wheat,2001,811.4,3.01,11.5,25989.9
India,"Rice, paddy",2019,2335.4,289.16,32.6,36771.6
India,Maize,2011,2635.4,125.1,27.9,38882.0
United States of America,Potatoes,2011,2754.8,157.28,27.3,182607.4
Brazil,"Rice, paddy",2020,1460.9,415.56,13.0,33726.7
Australia,Wheat,2019,1077.5,246.66,17.5,32931.7
Australia,Wheat,2004,1258.9,23.1,15.4,36428.2
China,Maize,2017,585.8,436.57,23.1,36576.1
United States of America,Wheat,2019,329.2,413.36,30.0,41440.7
Australia,"Rice, paddy",2012,504.3,181.09,12.3,24360.5
Brazil,"Rice, paddy",2000,2189.2,308.66,31.6,36726.4
China,Potatoes,2006,765.8,284.2,17.4,184438.6
United States of America,Potatoes,2011,1713.7,109.52,34.7,183851.5
India,Wheat,2009,1269.9,411.86,30.5,34902.6
India,Wheat,2012,528.7,233.61,22.1,34899.7
Brazil,Soybeans,2014,2523.8,192.61,21.5,36620.1
Australia,"Rice, paddy",2016,1436.1,301.04,33.4,32605.5
United States of America,Potatoes,2005,735.3,328.38,34.3,205400.2
Australia,Potatoes,2014,1954.5,469.27,26.5,208085.0
India,Maize,2018,925.0,340.84,33.5,34671.2
Australia,Wheat,2006,989.4,53.38,18.9,31804.2
Australia,"Rice, paddy",2013,1050.9,108.87,17.2,27716.0
China,Soybeans,2012,2217.3,48.32,17.9,31202.7
Brazil,Wheat,2006,895.2,443.15,33.4,39269.2
India,Maize,2009,1150.0,22.0,29.5,31901.7
China,"Rice, paddy",2010,2712.7,329.2,10.2,36780.6
United States of America,"Rice, paddy",2014,1606.9,257.29,17.7,32647.3
China,Maize,2002,2536.9,356.57,27.4,39282.3
Brazil,Soybeans,2005,1489.5,66.64,19.6,28223.3
Brazil,Soybeans,2009,369.6,301.96,26.5,30063.8
India,Wheat,2009,1981.4,111.73,17.7,37156.2
India,Potatoes,2001,761.5,209.36,28.9,174386.5
India,Wheat,2013,731.0,168.14,11.9,31386.4
Brazil,Maize,2020,2554.4,487.36,13.4,43542.7
China,Wheat,2009,2802.7,107.24,20.5,38643.6
Brazil,"Rice, paddy",2002,377.4,291.83,10.3,27190.5
United States of America,Potatoes,2012,1828.8,3.63,11.5,187078.8
Brazil,Maize,2014,1033.0,452.17,19.4,37442.7
China,Soybeans,2010,2475.3,112.55,15.7,32741.8
Australia,Soybeans,2015,821.8,25.75,25.7,25540.2
United States of America,Soybeans,2019,1629.8,221.33,18.4,30970.2
China,Potatoes,2018,883.9,104.69,17.4,183724.4
India,Potatoes,2001,1402.8,340.01,11.4,190228.0
China,Soybeans,2018,2182.3,97.12,26.0,34036.1
China,Potatoes,2008,921.0,205.95,16.0,176733.1
India,Potatoes,2008,1773.1,53.24,11.1,178985.1
United States of America,Potatoes,2011,519.3,496.29,13.9,213929.0
China,Maize,2009,2443.3,329.88,24.4,40897.8
Australia,"Rice, paddy",2019,1505.4,309.58,26.6,36482.4
Australia,Maize,2000,648.8,50.22,25.1,26903.6
India,Wheat,2010,2978.3,147.39,15.3,39656.4
United States of America,"Rice, paddy",2009,2637.0,51.87,13.1,30317.2
United States of America,Maize,2016,2848.6,383.03,10.1,42318.6
China,Potatoes,2009,2169.4,117.05,25.6,183524.3
Australia,Soybeans,2019,2193.7,57.16,34.9,31419.2
United States of America,Wheat,2001,1410.7,63.63,10.7,34383.2
China,Potatoes,2001,1451.3,274.3,14.4,188868.6
Brazil,"Rice, paddy",2013,1374.3,403.09,24.8,38418.3
Australia,"Rice, paddy",2013,2460.6,431.57,13.8,34249.7
China,Soybeans,2003,2262.5,392.49,34.9,33728.0
Australia,Potatoes,2019,2854.0,148.26,10.0,188214.7
Brazil,Maize,2004,2087.0,317.04,24.8,42987.5
Australia,Potatoes,2016,2545.1,459.24,26.2,183707.1
Australia,Maize,2019,2041.2,144.48,17.5,36501.3
Australia,Maize,2019,1827.5,257.47,12.1,31033.9
India,"Rice, paddy",2012,2969.9,113.25,19.7,32835.1
Brazil,Maize,2015,2988.0,291.57,30.3,40891.6
United States of America,Soybeans,2014,1159.4,244.77,31.5,34815.0
India,Maize,2002,2099.9,60.22,24.3,37181.4
China,Wheat,2006,2656.7,250.23,28.3,38848.2
China,Wheat,2019,1628.5,398.36,15.8,41471.4
China,"Rice, paddy",2015,1062.1,149.39,16.9,30744.3
Brazil,Potatoes,2014,1769.7,117.25,25.9,212318.1
Brazil,Maize,2005,1712.7,136.26,20.0,38528.9
China,Wheat,2002,2486.8,291.77,28.3,44620.4
Brazil,Soybeans,2003,812.8,351.02,23.9,35846.0
Australia,Wheat,2012,2369.6,351.2,18.3,41840.4
China,Maize,2016,2125.5,153.97,19.3,39352.4
United States of America,Potatoes,2010,2917.2,189.23,11.6,182769.9
Brazil,Wheat,2003,748.3,31.02,22.5,33154.7
United States of America,Maize,2014,1964.4,228.99,19.9,37256.9
India,"Rice, paddy",2006,2051.7,477.31,13.8,43040.5
Australia,"Rice, paddy",2005,2644.1,149.03,14.1,32353.3
China,"Rice, paddy",2003,2282.8,104.81,11.5,35149.7
India,Soybeans,2002,614.5,127.5,17.4,30124.6
China,Maize,2010,1827.8,454.06,19.9,39690.1
Brazil,Maize,2003,1958.9,262.07,18.0,36451.8
India,Potatoes,2010,2436.8,457.94,19.0,182297.7
Australia,Wheat,2012,1364.2,301.87,30.0,36863.0
Brazil,Soybeans,2017,1867.7,468.0,26.8,42021.4
Brazil,Wheat,2020,334.8,113.73,24.2,33018.9
Australia,"Rice, paddy",2019,365.1,58.67,13.2,24213.9
Australia,"Rice, paddy",2000,2555.5,98.85,21.0,31182.4
Brazil,"Rice, paddy",2003,1253.4,399.99,23.9,37623.4
India,Wheat,2020,1418.2,478.99,23.5,46327.6
China,Potatoes,2018,1989.3,286.02,14.6,186040.2
United States of America,Soybeans,2009,1766.1,187.22,25.6,32414.5
Brazil,Maize,2018,2304.2,122.46,25.0,39389.5
Australia,Maize,2002,1333.5,419.65,13.6,36734.2
China,Maize,2020,369.7,276.87,23.0,33212.9
United States of America,Wheat,2016,2043.0,23.27,33.6,32940.7
India,Wheat,2017,758.7,63.91,13.1,26354.0
India,Maize,2005,2147.6,474.52,13.6,41289.1
Australia,Maize,2013,1071.9,336.36,14.2,34842.9
India,Potatoes,2000,360.0,494.28,11.0,169904.8
United States of America,Soybeans,2012,757.7,25.96,25.4,28250.4
Australia,"Rice, paddy",2014,2790.6,36.83,17.0,29665.7
India,Maize,2018,2979.8,120.71,31.9,36030.4
India,Wheat,2018,2297.1,306.33,10.4,40367.4
Brazil,"Rice, paddy",2011,2273.3,210.3,24.5,36770.4
Australia,Wheat,2004,2168.5,70.42,20.4,37974.9
Australia,Potatoes,2015,2008.6,384.58,34.9,156710.9
Australia,Wheat,2008,862.5,178.04,26.7,39858.2
Brazil,Maize,2012,1903.2,288.01,14.0,42426.4
Australia,Potatoes,2017,486.7,413.84,16.4,164652.1
United States of America,Potatoes,2005,1192.5,372.5,20.3,194923.6
Australia,Soybeans,2016,659.6,131.04,20.5,25910.6
India,Potatoes,2008,793.4,159.86,20.4,185669.7
Australia,Maize,2013,582.6,64.73,24.3,31674.9
India,Maize,2017,2228.9,181.14,13.1,36938.5
India,Soybeans,2016,2626.5,288.77,32.3,33977.3
United States of America,Soybeans,2018,2482.7,306.02,17.4,35263.8
India,"Rice, paddy",2015,836.3,123.81,17.7,26068.2
Australia,Soybeans,2005,1892.1,34.15,30.8,30779.8
United States of America,Wheat,2019,1863.2,7.8,19.0,32300.7
China,Wheat,2012,2456.4,466.41,10.5,48176.1
United States of America,"Rice, paddy",2012,351.2,368.09,15.2,28256.5
India,Maize,2015,1163.3,29.03,13.4,25040.9
China,Wheat,2019,1683.0,340.4,33.3,36526.3
Australia,Soybeans,2013,1309.7,443.2,13.8,34353.3
India,Soybeans,2001,2906.1,214.38,25.8,35749.2
Brazil,"Rice, paddy",2002,1454.2,322.79,28.6,33665.7
Brazil,Wheat,2003,2446.7,162.2,29.1,35650.8
India,Maize,2005,2032.2,13.27,29.7,32167.6
Brazil,"Rice, paddy",2015,2483.8,437.81,17.6,40533.9
Australia,Maize,2009,2364.6,73.77,27.3,35979.8
India,Wheat,2013,2043.5,255.53,13.0,38815.0
United States of America,Potatoes,2002,778.2,3.07,21.1,190680.4
Brazil,Maize,2019,1081.5,391.72,30.1,36098.1
Australia,Wheat,2007,2129.9,126.53,31.8,36091.4
China,Wheat,2010,2126.9,318.21,20.0,45880.5
Australia,Wheat,2016,1544.4,414.44,30.7,39488.6
China,Soybeans,2016,1121.5,70.05,25.3,30069.9
United States of America,Maize,2014,2628.7,116.92,27.4,39420.0
United States of America,Soybeans,2019,1769.5,487.9,19.2,39550.3
China,Wheat,2001,752.1,231.57,10.8,32400.9
Brazil,"Rice, paddy",2016,1518.4,434.65,23.3,36100.5
China,Soybeans,2020,2507.6,447.58,31.3,37964.4
United States of America,"Rice, paddy",2003,1684.8,160.77,24.9,33851.2
India,Soybeans,2004,2785.9,172.84,11.4,32923.3
India,"Rice, paddy",2008,1795.3,256.73,17.0,31074.4
United States of America,Soybeans,2005,2278.7,438.16,28.1,41097.8
China,Potatoes,2017,497.1,372.14,27.8,176610.1
United States of America,Wheat,2003,2778.2,54.46,15.8,34944.6
India,Soybeans,2017,1520.9,369.68,27.2,38023.8
Australia,"Rice, paddy",2016,2625.9,433.08,10.2,37664.4
Brazil,"Rice, paddy",2009,1818.6,140.08,29.6,34865.8
China,Wheat,2019,2629.9,133.9,23.4,39390.9
United States of America,Maize,2018,349.3,452.12,11.7,36563.1
India,Wheat,2016,930.6,34.56,14.7,26442.4
Brazil,Soybeans,2010,2744.3,246.73,18.3,37685.6
United States of America,Wheat,2015,2214.0,496.9,17.9,46931.5
Brazil,Maize,2011,356.0,380.56,11.1,34096.2
Australia,Soybeans,2005,510.2,477.75,16.2,33729.8
Australia,"Rice, paddy",2015,612.0,418.29,22.6,35292.5
India,Wheat,2006,837.9,142.45,17.2,29990.2
Brazil,"Rice, paddy",2009,824.5,223.88,30.7,27075.6
India,Potatoes,2000,720.6,273.75,12.2,155996.4
United States of America,Soybeans,2006,1004.5,484.82,28.4,33023.7
China,Soybeans,2004,681.2,381.88,12.7,31766.4
Australia,"Rice, paddy",2002,1994.7,96.41,13.7,30702.3
India,Wheat,2006,2696.2,312.9,30.2,42000.5
China,"Rice, paddy",2006,2527.0,344.56,23.8,38365.6
China,Wheat,2000,831.1,119.12,17.5,35765.7
India,Maize,2016,821.5,235.92,21.8,38316.4
China,"Rice, paddy",2006,1415.4,100.07,20.3,30584.3
Brazil,"Rice, paddy",2004,1273.1,43.99,15.1,25996.8
India,Wheat,2004,2592.1,198.94,16.1,38094.7
India,Soybeans,2017,2907.7,103.29,28.5,36800.9
Australia,"Rice, paddy",2009,1743.3,98.13,14.2,29250.0
India,Wheat,2003,2870.6,369.09,24.9,47153.3
Brazil,Potatoes,2008,1147.9,249.85,15.4,211790.9
China,Wheat,2017,2539.3,95.57,32.9,36550.3
Brazil,Wheat,2011,2357.9,406.0,18.5,46306.4
Brazil,Potatoes,2003,2840.7,311.79,28.5,192878.6
Australia,Wheat,2016,354.1,31.72,19.7,27934.3
China,Wheat,2013,1773.4,102.43,17.3,41120.6
United States of America,Wheat,2012,1327.3,53.51,23.3,38675.2
China,Wheat,2011,2897.7,268.05,25.5,40073.5
United States of America,Potatoes,2020,856.1,0.97,11.0,182484.3
China,"Rice, paddy",2019,2613.8,469.39,22.3,42729.2
United States of America,Potatoes,2013,1848.6,171.15,26.2,189477.3
Brazil,Soybeans,2018,817.7,277.97,24.6,31317.4
China,Maize,2020,538.0,388.51,31.2,34741.0
United States of America,Soybeans,2020,1745.4,317.84,14.9,31759.9
India,"Rice, paddy",2020,2319.6,418.35,27.6,39693.9
United States of America,Potatoes,2005,1724.5,129.82,11.3,177297.5
United States of America,Wheat,2016,2438.1,405.88,22.1,47341.3
India,Potatoes,2017,2264.6,461.34,29.1,211710.7
United States of America,Soybeans,2018,1615.5,12.87,16.2,24981.7
China,Soybeans,2003,833.4,402.68,14.6,31877.8
Australia,"Rice, paddy",2011,1668.1,428.07,28.7,36687.4
China,Wheat,2000,2256.7,418.29,31.6,43564.9
China,"Rice, paddy",2005,1792.6,370.46,22.1,42093.5
India,Maize,2017,502.2,53.53,30.9,29489.9
United States of America,Maize,2009,1663.3,384.49,11.5,34973.3
United States of America,Wheat,2019,1447.4,191.75,28.0,37454.0
India,Soybeans,2001,1008.5,211.15,11.0,33338.4
United States of America,Soybeans,2011,924.7,202.42,34.8,26275.1
United States of America,"Rice, paddy",2003,1694.9,142.66,22.9,33577.9
Brazil,"Rice, paddy",2015,1158.7,462.36,11.4,36293.8
United States of America,Wheat,2015,1948.0,273.43,16.2,41210.4
Brazil,"Rice, paddy",2011,2746.8,371.85,23.3,39672.2
Australia,Potatoes,2001,328.5,197.35,31.3,176895.0
China,Wheat,2014,2675.6,324.52,32.5,41749.0
Australia,Wheat,2020,1153.8,422.56,21.9,38965.7
Brazil,Potatoes,2020,1307.1,104.91,27.4,215073.9
Australia,Soybeans,2020,1565.1,74.41,34.6,27756.8
Australia,Potatoes,2007,1826.6,10.99,10.9,166164.2
China,"Rice, paddy",2004,1114.9,19.18,22.6,31787.2
China,Maize,2004,2937.8,93.87,21.1,35127.4
Australia,"Rice, paddy",2013,567.9,214.61,25.7,31692.7
Australia,Maize,2009,387.6,118.18,17.8,26982.8
Australia,Maize,2018,849.4,477.3,33.0,37277.3
China,"Rice, paddy",2003,1998.0,320.37,31.3,34831.3
Brazil,Maize,2001,2341.7,197.18,25.2,42283.1
United States of America,Potatoes,2019,1109.8,237.42,14.2,173793.1
United States of America,Wheat,2015,2875.7,432.85,24.4,49814.9
China,Wheat,2008,1880.3,128.58,33.3,33978.5
Brazil,Maize,2001,2613.5,233.71,19.0,43115.1
Brazil,Potatoes,2015,1582.8,193.33,34.2,183750.2
India,"Rice, paddy",2017,1597.5,34.84,23.7,32394.6
United States of America,Soybeans,2019,447.4,485.94,22.8,35326.7
India,"Rice, paddy",2004,2616.2,152.8,14.8,32818.7
China,Maize,2012,843.8,5.27,11.9,25633.6
Brazil,"Rice, paddy",2001,1226.2,494.07,22.1,41711.8
China,Maize,2020,561.1,360.37,17.0,34162.7
Australia,Soybeans,2016,359.0,387.36,13.4,35872.4
Brazil,Maize,2003,1817.2,56.41,25.2,32639.9
Australia,Maize,2016,2964.1,125.81,22.7,39184.9
Brazil,Soybeans,2015,2897.6,254.73,21.3,38292.1
India,Potatoes,2004,685.6,290.12,17.1,174476.8
India,Soybeans,2002,2515.6,196.44,21.2,32632.4
India,Soybeans,2005,472.5,37.63,12.9,24231.2
Brazil,Soybeans,2012,1237.4,397.19,25.6,38437.6
Brazil,Maize,2006,1839.5,305.29,33.6,41255.9
Brazil,Wheat,2004,2987.6,144.11,23.5,42533.9
India,Potatoes,2007,756.7,488.74,31.3,226350.3
India,Potatoes,2018,580.1,148.06,12.3,171855.1
Brazil,Potatoes,2017,1301.6,386.19,14.3,159440.5
China,Wheat,2014,387.5,168.25,22.8,31336.8
Brazil,Maize,2012,2486.9,119.53,15.6,31653.1
Brazil,Potatoes,2017,2581.0,40.26,27.7,192009.6
Brazil,Wheat,2017,2643.5,291.76,28.0,40748.6
Brazil,Wheat,2008,958.8,483.38,34.0,38973.5
Australia,Potatoes,2003,2561.1,161.83,32.2,180207.6
China,Soybeans,2005,587.3,410.97,13.5,31655.4
India,Potatoes,2009,1166.0,96.53,17.7,182423.1
United States of America,Potatoes,2016,952.3,340.8,27.9,197795.3
China,Maize,2006,2127.6,32.52,24.9,32934.8
China,"Rice, paddy",2004,1542.9,109.19,13.3,30504.0
United States of America,Maize,2002,486.1,242.03,15.5,33127.7
United States of America,Wheat,2019,876.6,205.87,27.6,34823.6
Brazil,Soybeans,2018,676.2,433.18,31.8,30875.1
Australia,Maize,2011,1467.0,46.2,28.7,27293.6
Australia,Maize,2005,2155.5,156.76,11.5,30246.3
Brazil,Maize,2014,670.0,431.17,30.4,34789.2
China,Soybeans,2019,2599.8,26.76,12.6,32765.2
United States of America,Wheat,2007,1464.3,284.86,10.1,41917.4
Australia,"Rice, paddy",2010,2250.0,87.49,23.7,32522.5
Brazil,Soybeans,2006,1100.4,464.86,13.1,38368.2
China,Wheat,2001,996.9,232.26,13.3,32978.8
United States of America,Potatoes,2014,2038.6,417.25,24.4,208533.0
China,Wheat,2017,1727.5,17.67,26.0,34635.9
United States of America,"Rice, paddy",2015,2997.4,110.55,12.6,31743.3
Brazil,"Rice, paddy",2001,1726.1,233.9,12.7,33808.8
Australia,Potatoes,2012,433.1,129.11,13.4,179231.7
Australia,Maize,2005,1344.1,410.66,34.2,38426.0
Brazil,Wheat,2018,1479.2,232.27,29.7,30062.8
Australia,Potatoes,2010,366.5,348.5,28.1,197686.5
India,Maize,2002,2055.5,491.25,32.8,43928.6
China,Maize,2018,561.9,32.59,24.8,30716.0
United States of America,Potatoes,2005,2807.1,320.72,17.8,196764.1
Australia,Wheat,2014,2925.9,180.35,21.9,45042.0
Australia,"Rice, paddy",2005,1128.7,29.02,18.6,25444.4
Brazil,Wheat,2015,1913.7,434.91,32.3,37674.5
Australia,"Rice, paddy",2005,1652.8,286.59,13.4,28579.3
India,Maize,2007,956.6,275.51,14.8,35040.2
China,"Rice, paddy",2013,1482.7,171.53,23.7,34164.2
United States of America,"Rice, paddy",2015,2648.0,95.13,20.0,33585.3
Australia,Potatoes,2015,1846.5,409.84,18.2,201316.1
India,Wheat,2012,371.8,367.75,25.6,41728.1
Australia,"Rice, paddy",2006,2161.4,142.26,27.3,34545.2
United States of America,Wheat,2008,2618.2,481.38,25.7,47747.8
Australia,"Rice, paddy",2017,2553.0,28.58,28.7,34623.2
China,Wheat,2000,1148.2,479.01,10.8,36197.9
Brazil,Potatoes,2012,2770.1,106.25,13.6,185019.5
Brazil,Potatoes,2003,2761.8,73.73,26.1,186812.2
India,"Rice, paddy",2010,2548.3,246.96,32.8,34466.8
Australia,Maize,2012,2957.0,146.48,17.4,39898.1
Brazil,Maize,2011,1017.4,447.96,12.6,32438.6
United States of America,Wheat,2006,902.3,273.06,27.1,37461.0
China,Maize,2015,2509.4,168.17,24.4,35694.1
United States of America,Maize,2000,589.5,212.03,21.3,34872.0
China,Potatoes,2003,2794.1,410.82,18.9,204457.3
India,"Rice, paddy",2001,2128.2,341.49,25.7,39734.6
Brazil,Wheat,2013,1222.7,92.12,10.2,31105.2
Brazil,Wheat,2002,910.9,66.34,32.2,29433.3
Brazil,Soybeans,2017,1333.7,315.5,20.8,33041.7
China,Maize,2004,2357.7,468.12,33.5,42071.6
India,Wheat,2000,1580.0,437.9,16.8,41062.7
Australia,Soybeans,2017,2246.8,128.95,28.0,33160.6
United States of America,"Rice, paddy",2016,2522.1,117.9,26.3,33748.4
Brazil,"Rice, paddy",2009,590.1,8.95,32.7,26358.0
India,Wheat,2005,507.3,207.15,27.0,33395.4
China,Soybeans,2007,1657.8,397.66,13.4,34263.4
United States of America,Potatoes,2002,850.1,130.7,12.3,160024.5
United States of America,Maize,2013,1689.3,354.63,32.7,40553.0
United States of America,"Rice, paddy",2012,2576.0,223.22,27.7,38021.0
Brazil,Wheat,2001,2020.7,35.81,19.0,35621.1
United States of America,Wheat,2020,1230.9,195.45,32.3,35135.7
China,Wheat,2003,1931.6,315.19,20.4,39258.8
Australia,Potatoes,2007,2681.3,479.56,14.8,179974.1
India,Maize,2004,1227.1,10.04,27.2,31330.9
Brazil,Maize,2017,320.2,211.63,28.0,33235.8
Brazil,Soybeans,2018,1026.8,491.14,19.6,35822.8
United States of America,Potatoes,2020,2540.8,208.11,16.5,171347.6
Australia,Potatoes,2000,1761.3,26.93,27.5,190229.5
India,Wheat,2005,1085.7,434.55,32.6,43932.0
United States of America,"Rice, paddy",2008,1629.4,96.56,21.6,31783.2
United States of America,Potatoes,2002,2020.1,449.38,21.4,197482.3
United States of America,Wheat,2012,1538.5,91.22,17.6,34410.6
India,Soybeans,2001,2218.1,209.75,22.9,34283.5
United States of America,Maize,2005,1268.6,315.74,27.9,33061.1
China,Soybeans,2002,962.7,358.92,29.4,32432.6
Brazil,Potatoes,2017,571.2,254.82,10.6,150361.4
China,Maize,2013,2583.2,317.81,11.0,37434.8
United States of America,Wheat,2010,1288.5,52.27,27.6,31290.4
United States of America,Maize,2007,695.8,80.25,29.8,28011.2
India,Wheat,2020,1980.9,154.8,19.2,39197.7
Australia,Maize,2009,676.1,260.36,10.9,32862.2
China,Soybeans,2016,2751.0,44.16,33.4,32766.4
Australia,Wheat,2020,2871.1,25.41,13.7,37345.9
India,Soybeans,2018,2893.0,22.77,13.6,31609.7
Brazil,"Rice, paddy",2006,1918.3,171.17,33.8,31181.3
Australia,Soybeans,2019,1647.2,36.57,27.1,33083.3
India,Wheat,2002,2050.3,86.61,31.8,35589.5
China,Wheat,2018,2036.3,381.39,24.6,44251.5
China,Soybeans,2007,2334.4,66.67,23.7,31459.9
China,"Rice, paddy",2019,1428.6,426.72,31.4,37139.6
India,"Rice, paddy",2017,1982.5,178.36,29.7,32349.2
China,Wheat,2004,936.3,356.97,31.8,35221.7
